@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2023/06/14 11:01:06:709',6,709,716,715,686,712,718,657,720,711,717,693,633,0.767277,0.468153,0.211994
2,'2023/06/14 11:01:06:785',6,708,716,715,686,712,717,658,720,711,717,694,636,0.767277,0.468153,0.211994
3,'2023/06/14 11:01:06:785',6,709,716,714,684,712,718,656,719,712,717,693,633,0.767277,0.468153,0.211994
4,'2023/06/14 11:01:06:786',6,709,716,714,687,712,718,658,720,712,718,693,636,0.767277,0.468153,0.211994
5,'2023/06/14 11:01:06:786',6,709,715,715,684,712,717,656,720,711,717,693,633,0.767277,0.468153,0.211994
6,'2023/06/14 11:01:06:786',6,709,716,714,686,712,717,657,720,712,717,693,635,0.767277,0.468153,0.211994
7,'2023/06/14 11:01:06:787',6,709,716,714,686,712,717,657,720,712,717,693,635,0.767277,0.468153,0.211994
8,'2023/06/14 11:01:06:787',6,709,715,715,685,712,717,656,720,712,716,693,633,0.767277,0.468153,0.211994
9,'2023/06/14 11:01:06:789',6,709,715,715,685,712,717,656,720,712,716,693,633,0.767277,0.468153,0.211994
10,'2023/06/14 11:01:06:799',6,708,716,715,687,712,718,658,720,712,717,694,635,0.767277,0.468153,0.211994
11,'2023/06/14 11:01:06:810',6,709,716,714,684,712,718,656,720,711,716,693,633,0.767277,0.468153,0.211994
12,'2023/06/14 11:01:06:820',6,709,716,715,687,713,718,658,720,711,718,693,635,0.767277,0.468153,0.211994
13,'2023/06/14 11:01:06:829',6,709,716,714,685,712,718,657,720,712,717,692,635,0.767277,0.468153,0.211994
14,'2023/06/14 11:01:06:840',6,709,716,715,685,712,717,656,719,712,717,693,633,0.767277,0.468153,0.211994
15,'2023/06/14 11:01:06:849',6,709,716,715,685,712,717,656,719,712,717,693,633,0.767277,0.468153,0.211994
16,'2023/06/14 11:01:06:861',6,708,716,715,684,712,717,656,720,711,716,694,633,0.767277,0.468153,0.211994
17,'2023/06/14 11:01:06:869',6,708,716,715,684,712,717,656,720,711,716,694,633,0.767277,0.468153,0.211994
18,'2023/06/14 11:01:06:878',6,709,716,715,687,712,718,658,720,711,718,694,635,0.767277,0.468153,0.211994
19,'2023/06/14 11:01:06:888',6,708,716,715,684,712,718,657,720,711,717,693,633,0.767277,0.468153,0.211994
20,'2023/06/14 11:01:06:902',6,709,716,714,686,712,717,657,720,712,717,693,634,0.767277,0.468153,0.211994
21,'2023/06/14 11:01:06:908',6,710,716,714,686,712,718,658,720,712,718,693,635,0.767277,0.468153,0.211994
22,'2023/06/14 11:01:06:919',6,710,716,714,686,712,718,658,720,712,718,693,635,0.767277,0.468153,0.211994
23,'2023/06/14 11:01:06:931',6,708,716,715,684,712,718,656,719,711,717,693,632,0.767277,0.468153,0.211994
24,'2023/06/14 11:01:06:939',6,709,716,715,687,712,718,658,720,712,717,694,635,0.767277,0.468153,0.211994
25,'2023/06/14 11:01:06:950',6,709,716,715,684,712,717,656,720,712,716,693,633,0.767277,0.468153,0.211994
26,'2023/06/14 11:01:06:959',6,708,716,715,687,712,718,658,720,711,717,694,634,0.767277,0.468153,0.211994
27,'2023/06/14 11:01:06:969',6,708,716,715,685,712,717,657,720,712,716,694,635,0.767277,0.468153,0.211994
28,'2023/06/14 11:01:06:979',6,708,716,715,685,712,717,657,720,712,716,694,635,0.767277,0.468153,0.211994
29,'2023/06/14 11:01:06:989',6,709,716,715,685,712,718,656,720,711,717,693,632,0.767277,0.468153,0.211994
30,'2023/06/14 11:01:07:000',6,708,716,715,687,712,717,658,720,711,717,695,636,0.767277,0.468153,0.211994
31,'2023/06/14 11:01:07:009',6,709,716,715,684,712,718,656,720,712,717,693,633,0.767277,0.468153,0.211994
32,'2023/06/14 11:01:07:019',6,710,716,715,687,712,718,658,720,712,717,693,635,0.767277,0.468153,0.211994
33,'2023/06/14 11:01:07:030',6,708,716,715,684,712,717,657,719,711,717,694,634,0.767277,0.468153,0.211994
34,'2023/06/14 11:01:07:038',6,708,716,715,684,712,717,657,719,711,717,694,634,0.767277,0.468153,0.211994
35,'2023/06/14 11:01:07:049',6,709,716,715,686,712,717,658,720,712,718,693,635,0.767277,0.468153,0.211994
36,'2023/06/14 11:01:07:059',6,709,716,715,686,712,717,658,720,712,718,693,635,0.767277,0.468153,0.211994
37,'2023/06/14 11:01:07:070',6,709,715,714,684,712,718,656,720,712,717,693,632,0.767277,0.468153,0.211994
38,'2023/06/14 11:01:07:079',6,709,716,715,686,712,718,658,721,712,717,694,635,0.767277,0.468153,0.211994
39,'2023/06/14 11:01:07:090',6,709,716,714,684,712,718,656,720,712,717,693,633,0.767277,0.468153,0.211994
40,'2023/06/14 11:01:07:099',6,709,716,715,686,712,717,657,720,712,717,693,634,0.767277,0.468153,0.211994
41,'2023/06/14 11:01:07:110',6,708,716,715,685,712,717,658,720,712,717,694,635,0.767277,0.468153,0.211994
42,'2023/06/14 11:01:07:120',6,708,716,715,685,712,717,658,720,712,717,694,635,0.767277,0.468153,0.211994
43,'2023/06/14 11:01:07:130',6,709,716,715,687,712,717,658,720,712,717,694,636,0.767277,0.468153,0.211994
44,'2023/06/14 11:01:07:139',6,709,716,715,687,712,717,658,720,712,717,694,636,0.767277,0.468153,0.211994
45,'2023/06/14 11:01:07:149',6,708,716,715,684,712,717,656,720,711,716,693,632,0.767277,0.468153,0.211994
46,'2023/06/14 11:01:07:160',6,709,716,715,687,712,718,657,720,711,717,694,635,0.767277,0.468153,0.211994
47,'2023/06/14 11:01:07:171',6,709,716,715,685,712,718,657,719,712,717,693,634,0.767277,0.468153,0.211994
48,'2023/06/14 11:01:07:179',6,709,716,714,685,712,717,656,720,711,717,693,633,0.767277,0.468153,0.211994
49,'2023/06/14 11:01:07:192',6,709,716,715,686,712,717,658,720,712,717,693,635,0.767277,0.468153,0.211994
50,'2023/06/14 11:01:07:199',6,709,716,715,686,712,717,658,720,712,717,693,635,0.767277,0.468153,0.211994
51,'2023/06/14 11:01:07:211',6,709,715,715,684,712,718,656,719,711,717,693,633,0.767277,0.468153,0.211994
52,'2023/06/14 11:01:07:219',6,709,716,715,687,712,718,658,720,712,718,694,634,0.767277,0.468153,0.211994
53,'2023/06/14 11:01:07:230',6,709,716,715,684,712,717,656,720,712,716,693,633,0.767277,0.468153,0.211994
54,'2023/06/14 11:01:07:238',6,708,716,715,686,712,717,657,720,711,717,693,633,0.767277,0.468153,0.211994
55,'2023/06/14 11:01:07:250',6,708,716,715,686,712,717,657,720,711,717,693,633,0.767277,0.468153,0.211994
56,'2023/06/14 11:01:07:260',6,708,716,714,684,712,717,656,720,712,717,693,632,0.767277,0.468153,0.211994
57,'2023/06/14 11:01:07:269',6,708,716,714,684,712,717,656,720,712,717,693,632,0.767277,0.468153,0.211994
58,'2023/06/14 11:01:07:279',6,709,716,715,687,712,718,658,720,712,718,695,634,0.767277,0.468153,0.211994
59,'2023/06/14 11:01:07:290',6,708,716,715,684,712,718,656,720,711,717,694,633,0.767277,0.468153,0.211994
60,'2023/06/14 11:01:07:299',6,709,716,715,686,712,717,657,720,712,717,693,634,0.767277,0.468153,0.211994
61,'2023/06/14 11:01:07:309',6,709,716,715,685,712,717,657,720,711,717,693,634,0.767277,0.468153,0.211994
62,'2023/06/14 11:01:07:320',6,709,716,715,684,712,718,656,719,711,717,694,632,0.767277,0.468153,0.211994
63,'2023/06/14 11:01:07:329',6,709,716,715,684,712,718,656,719,711,717,694,632,0.767277,0.468153,0.211994
64,'2023/06/14 11:01:07:340',6,709,716,715,686,712,717,658,720,711,718,694,635,0.767277,0.468153,0.211994
65,'2023/06/14 11:01:07:348',6,709,716,715,684,712,717,656,720,711,717,693,632,0.767277,0.468153,0.211994
66,'2023/06/14 11:01:07:358',6,709,716,715,687,712,718,658,720,712,718,693,634,0.767277,0.468153,0.211994
67,'2023/06/14 11:01:07:370',6,709,716,714,684,712,717,656,720,712,716,692,634,0.767277,0.468153,0.211994
68,'2023/06/14 11:01:07:380',6,709,716,715,685,712,717,656,720,712,717,693,633,0.767277,0.468153,0.211994
69,'2023/06/14 11:01:07:389',6,709,716,715,685,712,717,656,720,712,717,693,633,0.767277,0.468153,0.211994
70,'2023/06/14 11:01:07:401',6,709,716,715,684,712,717,656,719,711,717,693,632,0.767277,0.468153,0.211994
71,'2023/06/14 11:01:07:410',6,709,716,715,684,712,717,656,719,711,717,693,632,0.767277,0.468153,0.211994
72,'2023/06/14 11:01:07:421',6,709,716,715,687,712,718,657,720,711,718,693,634,0.767277,0.468153,0.211994
73,'2023/06/14 11:01:07:430',6,708,716,715,683,712,718,656,719,711,717,693,633,0.767277,0.468153,0.211994
74,'2023/06/14 11:01:07:438',6,708,716,715,683,712,718,656,719,711,717,693,633,0.767277,0.468153,0.211994
75,'2023/06/14 11:01:07:449',6,709,716,715,686,712,718,657,720,711,717,693,635,0.767277,0.468153,0.211994
76,'2023/06/14 11:01:07:464',6,709,716,715,684,712,718,656,719,711,717,694,631,0.767277,0.468153,0.211994
77,'2023/06/14 11:01:07:469',6,709,716,715,684,712,718,656,719,711,717,694,631,0.767277,0.468153,0.211994
78,'2023/06/14 11:01:07:479',6,708,716,715,686,712,718,658,719,711,717,694,634,0.767277,0.468153,0.211994
79,'2023/06/14 11:01:07:489',6,709,716,715,684,712,717,656,719,711,716,693,632,0.767277,0.468153,0.211994
80,'2023/06/14 11:01:07:500',6,710,716,714,686,712,718,657,720,712,717,693,635,0.767277,0.468153,0.211994
81,'2023/06/14 11:01:07:509',6,709,716,715,684,712,718,657,720,711,717,693,634,0.767277,0.468153,0.211994
82,'2023/06/14 11:01:07:520',6,709,716,715,684,712,718,657,720,711,717,693,634,0.767277,0.468153,0.211994
83,'2023/06/14 11:01:07:530',6,710,716,714,686,713,718,658,720,712,717,694,635,0.767277,0.468153,0.211994
84,'2023/06/14 11:01:07:540',6,710,716,714,686,713,718,658,720,712,717,694,635,0.767277,0.468153,0.211994
85,'2023/06/14 11:01:07:549',6,708,716,715,684,712,717,656,719,711,717,694,632,0.767277,0.468153,0.211994
86,'2023/06/14 11:01:07:559',6,709,716,715,687,712,717,657,720,711,717,694,634,0.767277,0.468153,0.211994
87,'2023/06/14 11:01:07:571',6,709,716,715,684,712,718,656,720,711,716,694,633,0.767277,0.468153,0.211994
88,'2023/06/14 11:01:07:579',6,709,717,715,686,712,718,656,720,712,717,694,633,0.767277,0.468153,0.211994
89,'2023/06/14 11:01:07:590',6,709,716,715,686,712,718,657,720,712,718,693,634,0.767277,0.468153,0.211994
90,'2023/06/14 11:01:07:599',6,709,716,715,686,712,718,657,720,712,718,693,634,0.767277,0.468153,0.211994
91,'2023/06/14 11:01:07:610',6,709,715,715,684,712,717,656,720,712,716,693,632,0.767277,0.468153,0.211994
92,'2023/06/14 11:01:07:619',6,709,716,715,687,712,717,657,720,712,717,693,635,0.767277,0.468153,0.211994
93,'2023/06/14 11:01:07:631',6,708,716,715,684,712,717,656,720,711,717,693,633,0.767277,0.468153,0.211994
94,'2023/06/14 11:01:07:639',6,709,716,715,686,712,717,657,720,711,718,693,633,0.767277,0.468153,0.211994
95,'2023/06/14 11:01:07:650',6,709,716,715,685,712,718,657,720,712,717,693,634,0.767277,0.468153,0.211994
96,'2023/06/14 11:01:07:659',6,709,716,715,685,712,718,657,720,712,717,693,634,0.767277,0.468153,0.211994
97,'2023/06/14 11:01:07:670',6,708,716,715,687,712,717,658,720,711,717,694,635,0.767277,0.468153,0.211994
98,'2023/06/14 11:01:07:678',6,708,716,715,687,712,717,658,720,711,717,694,635,0.767277,0.468153,0.211994
99,'2023/06/14 11:01:07:690',6,709,716,714,684,712,718,655,720,712,717,693,632,0.767277,0.468153,0.211994
100,'2023/06/14 11:01:07:699',6,709,716,714,686,713,717,657,720,711,718,694,634,0.767277,0.468153,0.211994
101,'2023/06/14 11:01:07:710',6,709,716,714,684,712,717,657,720,711,717,693,633,0.767277,0.468153,0.211994
102,'2023/06/14 11:01:07:720',6,709,716,714,685,712,717,656,720,712,716,693,632,0.767277,0.468153,0.211994
103,'2023/06/14 11:01:07:729',6,709,716,714,685,712,717,656,720,712,716,693,632,0.767277,0.468153,0.211994
104,'2023/06/14 11:01:07:740',6,709,716,715,685,712,718,657,720,711,718,694,635,0.767277,0.468153,0.211994
105,'2023/06/14 11:01:07:750',6,709,716,714,684,712,717,655,720,711,717,693,631,0.767277,0.468153,0.211994
106,'2023/06/14 11:01:07:759',6,709,716,715,686,712,717,658,719,712,718,692,635,0.767277,0.468153,0.211994
107,'2023/06/14 11:01:07:769',6,709,716,715,684,712,718,656,719,712,716,693,633,0.767277,0.468153,0.211994
108,'2023/06/14 11:01:07:779',6,708,716,715,686,712,718,657,720,711,717,694,634,0.767277,0.468153,0.211994
109,'2023/06/14 11:01:07:789',6,709,716,714,685,712,717,657,719,712,717,693,635,0.767277,0.468153,0.211994
110,'2023/06/14 11:01:07:798',6,709,716,714,685,712,717,657,719,712,717,693,635,0.767277,0.468153,0.211994
111,'2023/06/14 11:01:07:809',6,709,716,714,684,712,718,655,719,711,717,693,631,0.767277,0.468153,0.211994
112,'2023/06/14 11:01:07:818',6,709,716,715,687,712,718,658,720,712,717,694,635,0.767277,0.468153,0.211994
113,'2023/06/14 11:01:07:831',6,708,716,715,684,712,717,656,720,711,717,693,632,0.767277,0.468153,0.211994
114,'2023/06/14 11:01:07:840',6,709,716,715,686,712,718,657,720,712,717,694,634,0.767277,0.468153,0.211994
115,'2023/06/14 11:01:07:848',6,708,716,715,684,712,718,657,720,711,717,693,634,0.767277,0.468153,0.211994
116,'2023/06/14 11:01:07:859',6,708,716,715,684,712,718,657,720,711,717,693,634,0.767277,0.468153,0.211994
117,'2023/06/14 11:01:07:869',6,709,716,715,685,712,717,656,720,712,717,693,632,0.767277,0.468153,0.211994
118,'2023/06/14 11:01:07:879',6,709,716,715,686,712,717,657,720,711,717,693,635,0.767277,0.468153,0.211994
119,'2023/06/14 11:01:07:890',6,708,715,715,684,712,717,655,719,711,716,693,632,0.767277,0.468153,0.211994
120,'2023/06/14 11:01:07:899',6,708,716,715,687,712,717,658,720,712,717,693,635,0.767277,0.468153,0.211994
121,'2023/06/14 11:01:07:910',6,709,715,714,684,712,717,656,720,711,717,693,633,0.767277,0.468153,0.211994
122,'2023/06/14 11:01:07:919',6,709,715,714,684,712,717,656,720,711,717,693,633,0.767277,0.468153,0.211994
123,'2023/06/14 11:01:07:929',6,709,716,714,686,712,717,657,720,711,717,693,635,0.767277,0.468153,0.211994
124,'2023/06/14 11:01:07:939',6,709,716,714,686,712,717,657,720,711,717,693,635,0.767277,0.468153,0.211994
125,'2023/06/14 11:01:07:950',6,709,716,714,684,712,717,656,719,712,716,693,632,0.767277,0.468153,0.211994
126,'2023/06/14 11:01:07:960',6,709,716,715,686,712,717,657,720,712,717,694,634,0.767277,0.468153,0.211994
127,'2023/06/14 11:01:07:969',6,709,716,714,684,712,717,656,720,712,716,692,633,0.767277,0.468153,0.211994
128,'2023/06/14 11:01:07:980',6,709,715,715,686,712,717,657,720,711,716,693,633,0.767277,0.468153,0.211994
129,'2023/06/14 11:01:07:989',6,708,716,715,685,712,717,657,720,711,717,694,634,0.767277,0.468153,0.211994
130,'2023/06/14 11:01:07:999',6,708,716,715,685,712,717,657,720,711,717,694,634,0.767277,0.468153,0.211994
131,'2023/06/14 11:01:08:009',6,709,716,715,687,712,717,658,720,711,717,694,635,0.767277,0.468153,0.211994
132,'2023/06/14 11:01:08:019',6,709,716,715,687,712,717,658,720,711,717,694,635,0.767277,0.468153,0.211994
133,'2023/06/14 11:01:08:030',6,708,715,715,684,712,718,655,720,711,716,693,632,0.767277,0.468153,0.211994
134,'2023/06/14 11:01:08:038',6,709,716,714,686,712,717,657,719,711,718,694,633,0.767277,0.468153,0.211994
135,'2023/06/14 11:01:08:049',6,709,716,714,684,712,718,656,719,712,717,692,633,0.767277,0.468153,0.211994
136,'2023/06/14 11:01:08:059',6,708,716,715,685,712,718,656,720,711,717,693,633,0.767277,0.468153,0.211994
137,'2023/06/14 11:01:08:068',6,708,716,715,685,712,718,656,720,711,717,693,633,0.767277,0.468153,0.211994
138,'2023/06/14 11:01:15:153',7,710,716,715,639,713,718,678,720,712,718,693,670,0.11859,0.178717,0.414055
139,'2023/06/14 11:01:15:161',7,708,716,715,635,712,718,676,720,712,716,694,668,0.11859,0.178717,0.414055
140,'2023/06/14 11:01:15:172',7,708,716,715,635,712,718,676,720,712,716,694,668,0.11859,0.178717,0.414055
141,'2023/06/14 11:01:15:182',7,709,716,715,638,712,718,677,720,712,717,694,669,0.11859,0.178717,0.414055
142,'2023/06/14 11:01:15:191',7,709,716,715,637,712,717,677,720,712,717,693,670,0.11859,0.178717,0.414055
143,'2023/06/14 11:01:15:203',7,709,716,715,636,712,717,676,720,712,716,693,668,0.11859,0.178717,0.414055
